ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Customer_Feedback
1,1957,Graduation,Single,58138.0,0,0,9/4/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
2,1954,Graduation,Single,46344.0,1,1,3/8/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
3,1965,Graduation,Together,71613.0,0,0,8/21/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
4,1984,Graduation,Together,26646.0,1,0,2/10/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
5,1981,PhD,Married,58293.0,1,0,1/19/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
6,1967,Master,Together,62513.0,0,1,9/9/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
7,1971,Graduation,Divorced,55635.0,0,1,11/13/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
8,1985,PhD,Married,33454.0,1,0,5/8/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
9,1974,PhD,Together,30351.0,1,0,6/6/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
10,1950,PhD,Together,5648.0,1,1,3/13/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
11,1983,Graduation,Married,,1,0,11/15/2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
12,1976,Basic,Married,7500.0,0,0,11/13/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
13,1959,Graduation,Divorced,63033.0,0,0,11/15/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
14,1952,Master,Divorced,59354.0,1,1,11/15/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
15,1987,Graduation,Married,17323.0,0,0,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
16,1946,PhD,Single,82800.0,0,0,11/24/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,Great customer service and very smooth experience.
17,1980,Graduation,Married,41850.0,1,1,12/24/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
